state_0,state_1,state_2,state_3,state_4,state_5,state_6,actions,rewards,dones
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,1500.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,3000.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,4500.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,4552.0,52.0,0,0,0
0.0,150000.0,0.0,80000.0,0.0,0.0,1500.0,0,80000,0
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,52.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,104.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,156.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,208.0,52.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,1500.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,3000.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,4500.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,260.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,1760.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,3260.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,4760.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,6260.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,7760.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,9260.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,10760.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,6000.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,7500.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,9000.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,10500.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,12000.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,13500.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,15000.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,16500.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,18000.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,19500.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,21000.0,1500.0,0,0,0
1.0,150000.0,0.0,0.0,0.0,22500.0,1500.0,0,0,0
0.0,135000.0,0.0,0.0,0.0,12260.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,13760.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,15260.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,16760.0,1500.0,0,0,0
0.0,150000.0,0.0,40000.0,0.0,1500.0,52.0,0,40000,0
0.0,150000.0,0.0,40000.0,0.0,1552.0,52.0,0,40000,0
0.0,150000.0,0.0,40000.0,0.0,1604.0,52.0,0,40000,0
0.0,150000.0,0.0,40000.0,0.0,1656.0,52.0,0,40000,0
0.0,150000.0,0.0,40000.0,0.0,1708.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,0.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,1500.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,3000.0,1500.0,0,40000,0
0.0,150000.0,0.0,40000.0,0.0,3208.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,4500.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,6000.0,1500.0,0,40000,0
0.0,150000.0,0.0,40000.0,0.0,4708.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,7500.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,9000.0,1500.0,0,40000,0
0.0,150000.0,0.0,40000.0,0.0,6208.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,10500.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,12000.0,1500.0,0,40000,0
0.0,150000.0,0.0,40000.0,0.0,7708.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,13500.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,15000.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,16500.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,18000.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,19500.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,21000.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,22500.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,24000.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,25500.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,27000.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,28500.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,30000.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,31500.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,33000.0,1500.0,0,40000,0
1.0,150000.0,0.0,40000.0,0.0,34500.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,55705.0,9208.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,111410.0,10708.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,167115.0,12208.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,222820.0,13708.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,278525.0,15208.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,334230.0,16708.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,389935.0,18208.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,445640.0,19708.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,501345.0,21208.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,557050.0,22708.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,612755.0,24208.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,668460.0,25708.0,1500.0,0,40000,0
0.0,135000.0,55705.0,40000.0,724165.0,27208.0,52.0,0,40000,0
1.0,150000.0,0.0,30000.0,0.0,13500.0,1500.0,0,30000,0
1.0,150000.0,0.0,30000.0,0.0,15000.0,1500.0,0,30000,0
0.0,135000.0,55705.0,30000.0,779870.0,19552.0,1500.0,0,30000,0
1.0,150000.0,0.0,30000.0,0.0,16500.0,1500.0,0,30000,0
1.0,150000.0,0.0,30000.0,0.0,18000.0,1500.0,0,30000,0
0.0,135000.0,55705.0,30000.0,835575.0,21052.0,1500.0,0,30000,0
1.0,150000.0,0.0,30000.0,0.0,19500.0,1500.0,0,30000,0
1.0,150000.0,0.0,30000.0,0.0,21000.0,1500.0,0,30000,0
0.0,135000.0,55705.0,30000.0,891280.0,22552.0,1500.0,0,30000,0
1.0,150000.0,0.0,30000.0,0.0,22500.0,1500.0,0,30000,0
0.0,135000.0,55705.0,30000.0,946985.0,24052.0,1500.0,0,30000,0
0.0,135000.0,55705.0,30000.0,1002690.0,25552.0,1500.0,0,30000,0
0.0,135000.0,55705.0,30000.0,1058395.0,27052.0,1500.0,0,30000,0
0.0,135000.0,55705.0,40000.0,1114100.0,25552.0,52.0,0,40000,0
0.0,120000.0,108133.0,40000.0,1222233.0,25604.0,1500.0,0,40000,0
0.0,120000.0,108133.0,40000.0,1330366.0,27104.0,52.0,0,40000,0
0.0,120000.0,108133.0,40000.0,1438499.0,27156.0,52.0,0,40000,0
0.0,120000.0,108133.0,40000.0,1546632.0,27208.0,1500.0,0,40000,0
0.0,120000.0,108133.0,40000.0,1654765.0,28708.0,1500.0,0,40000,0
0.0,120000.0,108133.0,40000.0,1762898.0,30208.0,1500.0,0,40000,0
0.0,120000.0,108133.0,40000.0,1871031.0,31708.0,1500.0,0,40000,0
0.0,120000.0,108133.0,40000.0,1979164.0,33208.0,1500.0,0,40000,0
0.0,120000.0,108133.0,40000.0,2087297.0,34708.0,1500.0,0,40000,0
0.0,120000.0,108133.0,40000.0,2195430.0,36208.0,1500.0,0,40000,0
0.0,120000.0,108133.0,40000.0,2303563.0,37708.0,1500.0,0,40000,0
0.0,120000.0,108133.0,40000.0,2411696.0,39208.0,1500.0,0,40000,0
0.0,120000.0,108133.0,40000.0,2519829.0,40708.0,1500.0,0,40000,0
